"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ошибка при попытке залогировать курьера со случайным паролем","233","/api/v1/courier/login -> 404 not found: password=random","tests.couriers","2025-11-19","passed","2025-11-19","TestLoginCourier","test_login_courier","",""
"Ошибка при попытке залогировать курьера в системе без пароля","60176","/api/v1/courier/login -> 400 bad request: password=null","tests.couriers","2025-11-19","failed","2025-11-19","TestLoginCourier","test_login_courier","",""
"Успешное создание курьера без firstName (со всеми обязательными полями)","254","/api/v1/courier -> 200 OK: firstName = null","tests.couriers","2025-11-19","passed","2025-11-19","TestCreateCourier","test_create_courier","",""
"Успешное создание заказа без выбора цвета, с черным, серым, черным/серым цветами","212","/api/v1/orders -> 200 ok: успешное создание заказа","tests.orders","2025-11-19","passed","2025-11-19","TestOrderCreate","test_order_create","",""
"Ошибка при попытке залогировать курьера в системе без логина","196","/api/v1/courier/login -> 400 bad request: login=null","tests.couriers","2025-11-19","passed","2025-11-19","TestLoginCourier","test_login_courier","",""
"Ошибка при попытке залогировать курьера в системе без данных","60198","/api/v1/courier/login -> 400 bad request: emptyBody","tests.couriers","2025-11-19","failed","2025-11-19","TestLoginCourier","test_login_courier","",""
"Успешное создание курьера со всеми заполненными полями","261","/api/v1/courier -> 200 OK: все поля заполнены","tests.couriers","2025-11-19","passed","2025-11-19","TestCreateCourier","test_create_courier","",""
"Ошибка при создании уже существующего в системе курьера","239","/api/v1/courier -> 409 conflict: создаем курьера дважды","tests.couriers","2025-11-19","passed","2025-11-19","TestCreateCourier","test_create_courier","",""
"Успешное создание заказа без выбора цвета, с черным, серым, черным/серым цветами","197","/api/v1/orders -> 200 ok: успешное создание заказа","tests.orders","2025-11-19","passed","2025-11-19","TestOrderCreate","test_order_create","",""
"Успешное создание заказа без выбора цвета, с черным, серым, черным/серым цветами","191","/api/v1/orders -> 200 ok: успешное создание заказа","tests.orders","2025-11-19","passed","2025-11-19","TestOrderCreate","test_order_create","",""
"","8429","/api/v1/orders -> 200 ok: успешное получение списка заказов","tests.orders","2025-11-19","passed","2025-11-19","TestOrderList","test_order_list","",""
"Ошибка при попытке залогировать несуществующего курьера","237","/api/v1/courier/login -> 404 not found: несуществующий курьер","tests.couriers","2025-11-19","passed","2025-11-19","TestLoginCourier","test_login_courier","",""
"Успешное создание заказа без выбора цвета, с черным, серым, черным/серым цветами","203","/api/v1/orders -> 200 ok: успешное создание заказа","tests.orders","2025-11-19","passed","2025-11-19","TestOrderCreate","test_order_create","",""
"Успешный логин курьера в системе","206","/api/v1/courier/login -> 200 OK: все поля заполнены","tests.couriers","2025-11-19","passed","2025-11-19","TestLoginCourier","test_login_courier","",""
"Ошибка при создании курьера с пустым телом запроса","190","/api/v1/courier -> 400 bad request: empty body","tests.couriers","2025-11-19","passed","2025-11-19","TestCreateCourier","test_create_courier","",""
